onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.079	1.634	1	1	pump	2	-5.68965517241379	-6.9	exponential	explosion	2	red	0.01	0	NA	NA
7.246	0.529	1	2	pump	2	NA	NA	exponential	explosion	2	red	0.0428709385014517	0	9.257	2
13.412	0.623	2	1	pump	8	-5.68965517241379	-5.22222222222222	linear	cashout	11	blue	0.1	0.8	NA	NA
15.362	0.449	2	2	pump	8	-4.68965517241379	-4.22222222222222	linear	cashout	11	blue	0.2	0.8	NA	NA
17.662	0.825	2	3	pump	8	-3.68965517241379	-3.22222222222222	linear	cashout	11	blue	0.3	0.8	NA	NA
19.896	0.523	2	4	pump	8	-2.68965517241379	-2.22222222222222	linear	cashout	11	blue	0.4	0.8	NA	NA
21.846	0.794	2	5	pump	8	-1.68965517241379	-1.22222222222222	linear	cashout	11	blue	0.5	0.8	NA	NA
23.819	0.592	2	6	pump	8	-0.689655172413793	-0.222222222222222	linear	cashout	11	blue	0.6	0.8	NA	NA
26.096	0.829	2	7	pump	8	0.310344827586207	0.777777777777778	linear	cashout	11	blue	0.7	0.8	NA	NA
28.879	0.888	2	8	pump	8	1.31034482758621	1.77777777777778	linear	cashout	11	blue	0.8	0.8	NA	NA
31.729	0.687	2	9	cashout	8	NA	NA	linear	cashout	11	blue	0.9	0.8	NA	NA
44.579	1.044	3	1	pump	7	-5.68965517241379	-4.9	control	control	7	grey	0	0	NA	NA
47.362	0.431	3	2	pump	7	-4.68965517241379	-3.9	control	control	7	grey	0	0	NA	NA
48.962	0.396	3	3	pump	7	-3.68965517241379	-2.9	control	control	7	grey	0	0	NA	NA
50.429	0.336	3	4	pump	7	-2.68965517241379	-1.9	control	control	7	grey	0	0	NA	NA
52.196	0.379	3	5	pump	7	-1.68965517241379	-0.9	control	control	7	grey	0	0	NA	NA
53.896	0.432	3	6	pump	7	-0.689655172413793	0.0999999999999996	control	control	7	grey	0	0	NA	NA
55.446	0.47	3	7	pump	7	0.310344827586207	1.1	control	control	7	grey	0	0	NA	NA
61.912	0.785	4	1	pump	6	-5.68965517241379	-5.22222222222222	linear	explosion	6	blue	0.1	0	NA	NA
64.279	0.506	4	2	pump	6	-4.68965517241379	-4.22222222222222	linear	explosion	6	blue	0.2	0	NA	NA
65.929	0.585	4	3	pump	6	-3.68965517241379	-3.22222222222222	linear	explosion	6	blue	0.3	0	NA	NA
68.129	0.526	4	4	pump	6	-2.68965517241379	-2.22222222222222	linear	explosion	6	blue	0.4	0	NA	NA
70.546	0.521	4	5	pump	6	-1.68965517241379	-1.22222222222222	linear	explosion	6	blue	0.5	0	NA	NA
72.912	0.501	4	6	pump	6	NA	NA	linear	explosion	6	blue	0.6	0	75.196	2
80.546	1.073	5	1	pump	7	-5.68965517241379	-6.9	exponential	cashout	8	red	0.01	0.6	NA	NA
83.012	0.409	5	2	pump	7	-4.68965517241379	-5.9	exponential	cashout	8	red	0.0428709385014517	0.6	NA	NA
84.796	0.403	5	3	pump	7	-3.68965517241379	-4.9	exponential	cashout	8	red	0.100451085663051	0.6	NA	NA
86.465	0.583	5	4	pump	7	-2.68965517241379	-3.9	exponential	cashout	8	red	0.183791736799526	0.6	NA	NA
88.447	0.563	5	5	pump	7	-1.68965517241379	-2.9	exponential	cashout	8	red	0.293654735772005	0.6	NA	NA
90.763	0.871	5	6	pump	7	-0.689655172413793	-1.9	exponential	cashout	8	red	0.430643231586474	0.6	NA	NA
92.746	0.998	5	7	pump	7	0.310344827586207	-0.9	exponential	cashout	8	red	0.595258881579143	0.6	NA	NA
95.412	1.649	5	8	cashout	7	NA	NA	exponential	cashout	8	red	0.787932424540747	0.6	NA	NA
102.646	0.7	6	1	pump	4	-5.68965517241379	-4.9	control	control	4	grey	0	0	NA	NA
104.662	0.39	6	2	pump	4	-4.68965517241379	-3.9	control	control	4	grey	0	0	NA	NA
106.479	0.345	6	3	pump	4	-3.68965517241379	-2.9	control	control	4	grey	0	0	NA	NA
108.212	0.344	6	4	pump	4	-2.68965517241379	-1.9	control	control	4	grey	0	0	NA	NA
113.879	0.709	7	1	pump	11	-5.68965517241379	-4.9	control	control	11	grey	0	0	NA	NA
115.996	0.359	7	2	pump	11	-4.68965517241379	-3.9	control	control	11	grey	0	0	NA	NA
117.929	0.543	7	3	pump	11	-3.68965517241379	-2.9	control	control	11	grey	0	0	NA	NA
119.896	0.473	7	4	pump	11	-2.68965517241379	-1.9	control	control	11	grey	0	0	NA	NA
121.929	0.515	7	5	pump	11	-1.68965517241379	-0.9	control	control	11	grey	0	0	NA	NA
